"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Bwipo","Fnatic","Top",18,"50%","61%",64,65,94,2.4,"56.2%","22.8%","21.2%","11%",-86,-109,-4.8,7.6,"24.8%",488,"24.3%",263,"22.2%",0.5,0.14
"Caps","G2 Esports","Middle",18,"78%","56%",74,34,131,6,"64.3%","23.2%","15.0%","17%",186,273,3.8,8.7,"24.7%",572,"26.6%",301,"23.9%",0.37,0.16
"Hans sama","Rogue","ADC",18,"78%","28%",103,33,105,6.3,"71.0%","35.2%","19.2%","39%",326,-14,-2.6,8.9,"27.9%",515,"26.0%",328,"26.6%",0.67,0.38
"Hylissang","Fnatic","Support",18,"50%","22%",10,99,160,1.7,"60.5%","3.6%","32.2%","33%",146,211,3.1,1.6,"3.8%",179,"8.9%",114,"9.6%",1.3,0.34
"Inspired","Rogue","Jungle",18,"78%","56%",64,34,124,5.5,"64.2%","21.8%","19.8%","50%",58,157,2.9,6.5,"17.6%",306,"15.4%",229,"18.5%",0.49,0.4
"Jankos","G2 Esports","Jungle",18,"78%","61%",85,48,110,4.1,"61.1%","26.6%","21.1%","11%",-26,14,-3.5,6.5,"18.8%",415,"18.2%",245,"19.5%",0.42,0.45
"Larssen","Rogue","Middle",18,"78%","33%",77,26,127,7.8,"69.6%","26.3%","15.1%","17%",80,122,5.2,9.6,"27.9%",539,"27.0%",318,"25.5%",0.37,0.17
"Mikyx","G2 Esports","Support",18,"78%","39%",15,73,190,2.8,"64.3%","4.7%","32.2%","22%",90,-8,5.8,1.7,"3.8%",172,"7.8%",125,"9.8%",1.68,0.33
"Nisqy","Fnatic","Middle",18,"50%","67%",44,54,130,3.2,"61.9%","15.7%","17.6%","17%",-20,-215,-4.6,8,"23.9%",455,"22.7%",254,"21.5%",0.49,0.11
"Odoamne","Rogue","Top",18,"78%","28%",34,23,132,7.2,"56.7%","11.6%","13.4%","0%",183,80,7,8,"22.9%",469,"23.6%",250,"20.3%",0.41,0.2
"Rekkles","G2 Esports","ADC",18,"78%","28%",101,18,126,12.6,"71.2%","31.7%","7.9%","11%",-21,94,-6.8,9.3,"30.7%",574,"24.9%",337,"26.8%",0.54,0.45
"Selfmade","Fnatic","Jungle",18,"50%","50%",67,57,113,3.2,"64.1%","23.8%","18.6%","28%",153,224,6.2,6.7,"20.2%",398,"19.9%",242,"20.6%",0.33,0.25
"Trymbi","Rogue","Support",18,"78%","61%",15,56,174,3.4,"64.5%","5.1%","32.6%","44%",219,-16,1,1.5,"3.7%",159,"8.0%",115,"9.2%",1.42,0.38
"Upset","Fnatic","ADC",18,"50%","56%",96,32,95,6,"68.0%","34.2%","10.4%","33%",218,104,6.6,8.2,"27.3%",494,"24.2%",307,"26.1%",0.52,0.29
"Wunder","G2 Esports","Top",18,"78%","67%",44,54,133,3.3,"55.5%","13.8%","23.8%","11%",183,41,7,8,"22.0%",489,"22.5%",256,"20.1%",0.46,0.14